t,y
0,0
0.033566667,-0.004859962
0.0672,-0.008838828
0.1008,-0.014771632
0.168066667,-0.033033825
0.201733333,-0.045321004
0.2353,-0.052640482
0.268966667,-0.055810803
0.302533333,-0.056625174
0.336166667,-0.055944248
0.3698,-0.057563758
0.403433333,-0.061761668
0.437066667,-0.066774902
0.4707,-0.073308437
0.5043,-0.079790616
0.537966667,-0.085606902
0.571533333,-0.092095389
0.605233333,-0.098736649
0.638766667,-0.104542695
0.672466667,-0.111207924
0.706033333,-0.120340269
0.739633333,-0.127642561
0.773266667,-0.133392432
0.806866667,-0.141501901
0.8405,-0.148111973
0.874133333,-0.154731831
0.907766667,-0.16052588
0.941366667,-0.16474588
0.975,-0.167900465
1.008666667,-0.169717527
1.042233333,-0.171959552
1.0759,-0.17446651
1.1095,-0.177599443
1.143133333,-0.180934529
