t,y
0.000000000E0,3.801037290E-3
3.356666667E-2,3.639875682E-3
6.723333333E-2,2.856054209E-3
1.008333333E-1,2.713908777E-3
1.344666667E-1,2.198773199E-3
1.680666667E-1,2.614193348E-3
2.016666667E-1,-9.622634745E-4
2.352666667E-1,-2.236884696E-3
2.689666667E-1,-2.756860352E-3
3.025333333E-1,-2.931171806E-3
3.361666667E-1,-3.720527638E-3
3.697666667E-1,-4.206354123E-3
4.034333333E-1,-6.900362068E-3
4.370333333E-1,-1.049039339E-2
4.706666667E-1,-1.678915702E-2
5.042666667E-1,-2.479728929E-2
5.379000000E-1,-3.265286165E-2
5.715333333E-1,-4.796839173E-2
6.051333333E-1,-4.893453409E-2
6.388000000E-1,-5.591142062E-2
6.724000000E-1,-5.471364461E-2
7.059666667E-1,-5.303279742E-2
7.396333333E-1,-5.690269942E-2
7.732333333E-1,-5.858357329E-2
8.069000000E-1,-5.890311228E-2
8.405000000E-1,-5.852716126E-2
8.741666667E-1,-5.931273739E-2
9.077333333E-1,-5.972979750E-2
9.414000000E-1,-6.015337567E-2
9.749666667E-1,-6.018580422E-2
1.008633333E0,-6.027167494E-2
1.042200000E0,-6.051133127E-2
1.075866667E0,-6.055596449E-2
1.109433333E0,-6.070915707E-2
1.143066667E0,-6.145174554E-2
1.176666667E0,-6.115951517E-2
1.210366667E0,-6.089899924E-2
1.243900000E0,-6.151466838E-2
1.277533333E0,-6.236186526E-2
1.311166667E0,-6.294608132E-2
1.344800000E0,-6.180335314E-2
1.378400000E0,-6.244685070E-2
1.412033333E0,-6.330644898E-2
1.445666667E0,-6.208972326E-2
1.479300000E0,-6.215252896E-2
1.512900000E0,-6.282453615E-2
1.546566667E0,-6.325291957E-2
1.580133333E0,-6.393936297E-2
1.613800000E0,-6.423557768E-2
1.647466667E0,-6.515873440E-2
1.681100000E0,-6.525374530E-2
1.714633333E0,-6.542732809E-2
1.748300000E0,-6.572889976E-2
1.781866667E0,-6.536674148E-2
1.815500000E0,-6.585014015E-2
1.849133333E0,-6.576064057E-2
1.882766667E0,-6.592089521E-2
1.916366667E0,-6.630012773E-2
1.950000000E0,-6.661632921E-2
1.983600000E0,-6.660446732E-2
2.017266667E0,-6.669107044E-2
2.050833333E0,-6.726369593E-2
2.084500000E0,-6.755416199E-2
2.118066667E0,-6.733281321E-2
2.151700000E0,-6.808050116E-2
2.185300000E0,-6.806291846E-2
2.218933333E0,-6.787113254E-2
2.252566667E0,-6.829568260E-2
2.286200000E0,-6.869115793E-2
2.319833333E0,-6.871811493E-2
2.353433333E0,-6.915077014E-2
2.387066667E0,-6.936805217E-2
2.420700000E0,-6.980440302E-2
2.454300000E0,-6.980870014E-2
2.487966667E0,-7.016909041E-2
2.521566667E0,-7.060470683E-2
2.555233333E0,-7.069350643E-2
2.588800000E0,-7.119330269E-2
2.622433333E0,-7.119634089E-2
2.656000000E0,-7.134250556E-2
2.689666667E0,-7.151326384E-2
2.723266667E0,-7.170159619E-2
2.756933333E0,-7.232967267E-2
2.790500000E0,-7.253853156E-2
2.824133333E0,-7.273229165E-2
2.857766667E0,-7.285976009E-2
2.891433333E0,-7.300796885E-2
2.925000000E0,-7.330605269E-2
2.958666667E0,-7.358218447E-2
2.992233333E0,-7.371135783E-2
3.025900000E0,-7.394737326E-2
3.059500000E0,-7.399758580E-2
3.093133333E0,-7.425484752E-2
3.126733333E0,-7.427481433E-2
3.160400000E0,-7.401500709E-2
3.193966667E0,-7.435311239E-2
3.227666667E0,-7.436975621E-2
3.261233333E0,-7.429602673E-2
3.294833333E0,-7.412837353E-2
3.328466667E0,-7.399657774E-2
3.362066667E0,-7.404629612E-2
3.395700000E0,-7.393552180E-2
3.429333333E0,-7.379615539E-2
3.462933333E0,-7.344610767E-2
3.496566667E0,-7.327501209E-2
3.530166667E0,-7.327347320E-2
3.563866667E0,-7.331083218E-2
3.597433333E0,-7.338506125E-2
3.631033333E0,-7.321126409E-2
3.664666667E0,-7.343667843E-2
3.698333333E0,-7.361481931E-2
3.731900000E0,-7.361271750E-2
3.765533333E0,-7.405772194E-2
3.799200000E0,-7.390868535E-2
3.832800000E0,-7.421397365E-2
3.866400000E0,-7.461612712E-2
3.900033333E0,-7.504934861E-2
3.933633333E0,-7.512424500E-2
3.967300000E0,-7.535649429E-2
4.000866667E0,-7.580035093E-2
4.034533333E0,-7.589802830E-2
4.068100000E0,-7.619106453E-2
4.101733333E0,-7.642828593E-2
4.135333333E0,-7.647822571E-2
4.169033333E0,-7.673741566E-2
4.202666667E0,-7.696507368E-2
4.236233333E0,-7.693757215E-2
4.269833333E0,-7.708144057E-2
4.303500000E0,-7.700797757E-2
4.337100000E0,-7.686939812E-2
4.370733333E0,-7.733370283E-2
4.404333333E0,-7.683515553E-2
4.438000000E0,-7.719874946E-2
4.471566667E0,-7.742011893E-2
4.505200000E0,-7.730627487E-2
4.538833333E0,-7.792283574E-2
4.572433333E0,-7.805421732E-2
4.606066667E0,-7.795385367E-2
4.639700000E0,-7.838460685E-2
4.673300000E0,-7.851452825E-2
4.706966667E0,-7.871302614E-2
4.740533333E0,-7.889283724E-2
4.774200000E0,-7.887757542E-2
4.807800000E0,-7.910281955E-2
4.841433333E0,-7.924225938E-2
4.875000000E0,-7.951040666E-2
4.908666667E0,-7.969256021E-2
4.942233333E0,-7.962055534E-2
4.975866667E0,-7.965615726E-2
5.009500000E0,-7.943378199E-2
5.043200000E0,-7.950534610E-2
5.076733333E0,-7.959430672E-2
5.110400000E0,-7.947097169E-2
5.144033333E0,-7.983470547E-2
5.177700000E0,-7.972948149E-2
