t,y
0.000000000E0,5.303936686E-4
1.345000000E-1,-2.373278356E-4
2.689666667E-1,-1.315076154E-3
4.034333333E-1,-2.847447104E-3
5.379333333E-1,-4.025376776E-3
6.724333333E-1,-4.344307441E-3
8.069333333E-1,-4.939006879E-3
9.414000000E-1,-4.474174056E-3
1.075933333E0,-5.108856131E-3
1.210366667E0,-5.998685071E-3
1.344866667E0,-6.098734696E-3
1.479333333E0,-6.457740051E-3
1.613833333E0,-7.590934259E-3
1.748333333E0,-8.461043594E-3
1.882800000E0,-9.436004890E-3
2.017300000E0,-9.878033142E-3
2.151766667E0,-1.072009846E-2
2.286233333E0,-1.163246857E-2
2.420733333E0,-1.249197091E-2
2.555200000E0,-1.319877731E-2
2.689700000E0,-1.416482508E-2
2.824200000E0,-1.469251381E-2
2.958700000E0,-1.597441552E-2
3.093133333E0,-1.989065794E-2
3.227666667E0,-2.065410413E-2
3.362133333E0,-2.174088645E-2
3.496633333E0,-2.293733624E-2
3.631100000E0,-2.387513441E-2
3.765566667E0,-2.416446281E-2
3.900033333E0,-2.498191194E-2
4.034533333E0,-2.583211057E-2
4.169066667E0,-2.670499985E-2
4.303533333E0,-2.771200166E-2
4.438066667E0,-2.794729134E-2
4.572500000E0,-2.794993315E-2
4.706966667E0,-2.787388306E-2
4.841466667E0,-2.766370124E-2
4.975966667E0,-2.831711057E-2
5.110433333E0,-2.880161975E-2
5.244900000E0,-2.996597622E-2
5.379400000E0,-3.092205152E-2
5.513900000E0,-3.171863949E-2
5.648366667E0,-3.194150794E-2
5.782833333E0,-3.266725916E-2
5.917300000E0,-3.329590189E-2
6.051866667E0,-3.392065550E-2
6.186300000E0,-3.490617763E-2
6.320800000E0,-3.551939641E-2
6.455300000E0,-3.611437153E-2
6.589766667E0,-3.642058635E-2
6.724266667E0,-3.716240686E-2
6.858766667E0,-3.828395912E-2
6.993233333E0,-3.942429383E-2
7.127700000E0,-4.008279498E-2
7.262166667E0,-4.046553824E-2
7.396666667E0,-4.059553985E-2
7.531166667E0,-4.105026773E-2
7.665666667E0,-4.193225693E-2
7.800166667E0,-4.321587797E-2
7.934633333E0,-4.319616860E-2
8.069133333E0,-4.360447881E-2
8.203633333E0,-4.450110157E-2
8.338066667E0,-4.553921222E-2
8.472533333E0,-4.643327635E-2
8.607033333E0,-4.724556467E-2
8.741500000E0,-4.772980599E-2
8.876000000E0,-4.792344831E-2
9.010466667E0,-4.797534732E-2
9.144966667E0,-4.793063675E-2
9.279466667E0,-4.837266929E-2
9.413933333E0,-4.827229191E-2
9.548433333E0,-4.824142486E-2
9.682900000E0,-4.881244865E-2
9.817400000E0,-4.965864610E-2
9.951900000E0,-5.046263627E-2
1.008636667E1,-5.207294848E-2
1.022083333E1,-5.320330092E-2
1.035533333E1,-5.412777022E-2
1.048983333E1,-5.514247019E-2
1.062433333E1,-5.538800609E-2
1.075883333E1,-5.558102085E-2
1.089330000E1,-5.597198964E-2
1.102773333E1,-5.611289512E-2
1.116226667E1,-5.593770967E-2
