t,y
0.000000000E0,8.889777555E-4
2.666666667E-1,8.255474780E-4
5.333333333E-1,5.880866834E-4
8.000000000E-1,2.737438755E-4
1.066666667E0,5.258955501E-5
1.333333333E0,-1.602782819E-4
1.600000000E0,-7.619535691E-4
1.866666667E0,-8.359387952E-4
2.133333333E0,-9.507044699E-4
2.400000000E0,-9.316225368E-4
2.666666667E0,-1.503125200E-3
2.933333333E0,-1.562734986E-3
3.200000000E0,-1.876991215E-3
3.466666667E0,-2.419960488E-3
3.733333333E0,-2.305140387E-3
4.000000000E0,-2.409857618E-3
4.266666667E0,-2.669861777E-3
4.533333333E0,-3.173580826E-3
4.800000000E0,-3.416020090E-3
5.066666667E0,-3.546329194E-3
5.333333333E0,-3.350318770E-3
5.600000000E0,-4.085570219E-3
5.866666667E0,-4.454090263E-3
6.133333333E0,-4.211410260E-3
6.400000000E0,-4.393665395E-3
6.666666667E0,-5.041893138E-3
6.933333333E0,-5.073312489E-3
7.200000000E0,-5.226628194E-3
7.466666667E0,-6.101847871E-3
7.733333333E0,-6.301185135E-3
8.000000000E0,-6.767950203E-3
8.266666667E0,-6.973029215E-3
8.533333333E0,-6.948772392E-3
8.800000000E0,-7.377476029E-3
9.066666667E0,-7.807141573E-3
9.333333333E0,-7.528704837E-3
9.600000000E0,-7.925947185E-3
9.866666667E0,-7.680176607E-3
1.013333333E1,-7.821331347E-3
1.040000000E1,-9.293083869E-3
1.066666667E1,-8.617684942E-3
1.093333333E1,-8.714878104E-3
1.120000000E1,-9.370798947E-3
1.146666667E1,-8.785676071E-3
1.173333333E1,-9.153157403E-3
1.200000000E1,-9.232360416E-3
1.226666667E1,-9.301551176E-3
1.253333333E1,-9.593125249E-3
1.280000000E1,-9.325910865E-3
1.306666667E1,-9.358800511E-3
1.333333333E1,-9.565956646E-3
1.360000000E1,-9.348890493E-3
1.386666667E1,-9.693744070E-3
1.413333333E1,-9.641165360E-3
1.440000000E1,-8.508187480E-3
1.466666667E1,-9.304995343E-3
1.493333333E1,-9.471269060E-3
1.520000000E1,-9.408919851E-3
1.546666667E1,-9.497575969E-3
1.573333333E1,-1.033689449E-2
1.600000000E1,-1.016470465E-2
1.626666667E1,-1.030243716E-2
1.653333333E1,-1.045517289E-2
1.680000000E1,-1.045990487E-2
1.706666667E1,-1.097444601E-2
1.733333333E1,-1.111002504E-2
1.760000000E1,-1.129799789E-2
1.786666667E1,-1.135806163E-2
1.813333333E1,-1.112094058E-2
1.840000000E1,-1.120980370E-2
1.866666667E1,-1.212873419E-2
1.893333333E1,-1.207202723E-2
1.920000000E1,-1.205249387E-2
1.946666667E1,-1.200693876E-2
1.973333333E1,-1.205520569E-2
2.000000000E1,-1.266728276E-2
2.026666667E1,-1.286267679E-2
2.053333333E1,-1.287040870E-2
2.080000000E1,-1.292686963E-2
2.106666667E1,-1.293037051E-2
2.133333333E1,-1.347537543E-2
2.160000000E1,-1.383905112E-2
2.186666667E1,-1.451539898E-2
2.213333333E1,-1.480862515E-2
2.240000000E1,-1.542105515E-2
2.266666667E1,-1.536545823E-2
2.293333333E1,-1.535939540E-2
2.320000000E1,-1.547124839E-2
2.346666667E1,-1.573241034E-2
2.373333333E1,-1.573849526E-2
2.400000000E1,-1.622223768E-2
2.426666667E1,-1.601784033E-2
2.453333333E1,-1.620018369E-2
2.480000000E1,-1.639668212E-2
2.506666667E1,-1.661833569E-2
2.533333333E1,-1.679306159E-2
2.560000000E1,-1.696485545E-2
2.586666667E1,-1.708066410E-2
2.613333333E1,-1.694327515E-2
2.640000000E1,-1.691584548E-2
2.666666667E1,-1.721576446E-2
2.693333333E1,-1.737547803E-2
2.720000000E1,-1.754046821E-2
2.746666667E1,-1.795544838E-2
2.773333333E1,-1.812538663E-2
2.800000000E1,-1.808063202E-2
