t,x
0.0,0.47984939805014715
0.033333333333333375,0.48018727417791773
0.06666666666666662,0.4805174351626308
0.1,0.4806012612659853
0.13333333333333325,0.4811042178861124
0.16666666666666663,0.48127829937870276
0.2,0.4817000016098279
0.23333333333333325,0.4821204179837767
0.2666666666666666,0.48228807019048575
0.2999999999999999,0.4821952430868974
0.33333333333333326,0.482700771421377
0.36666666666666675,0.48278073995320275
0.4,0.4831173302237971
0.43333333333333324,0.48320244218432784
0.4666666666666665,0.48396202054322357
0.5,0.48916309652273243
0.5333333333333332,0.5005673041504756
0.5666666666666668,0.5192579534841802
0.6,0.5389545160581393
0.6333333333333333,0.5589966699029263
0.6666666666666667,0.5797919728207279
0.7,0.6006646725560026
0.7333333333333335,0.6217952798872223
0.7666666666666665,0.6426718371940258
0.8,0.6638849847714235
0.8333333333333333,0.6845913181571656
0.8666666666666667,0.7058870059807416
0.9,0.7275269992179696
0.9333333333333332,0.7482307608893591
0.9666666666666666,0.7693652257921074
1.0,0.7901476701381464
1.0333333333333334,0.8113659611442492
1.0666666666666667,0.8318259596486327
1.1,0.8519339375963066
