t,x,y
0.0,0.0,0.0
0.033333333333333375,0.0,-0.00303030303030305
0.06666666666666675,0.0,-0.010606060606060619
0.10000000000000012,-0.001515151515151525,-0.027272727272727226
0.1333333333333335,-0.003030303030302939,-0.05757575757575756
0.16666666666666674,-0.004545454545454519,-0.10151515151515139
0.20000000000000012,-0.007575757575757458,-0.15454545454545443
0.23333333333333336,-0.009090909090909038,-0.21818181818181803
0.2666666666666667,-0.010606060606060619,-0.2909090909090907
0.3000000000000001,-0.010606060606060619,-0.3742424242424238
0.33333333333333337,-0.010606060606060619,-0.46666666666666623
0.36666666666666675,-0.010606060606060619,-0.5712121212121207
0.4,-0.013636363636363558,-0.6848484848484843
0.43333333333333335,-0.015151515151515138,-0.7984848484848478
