t,x,y
0.0,0.21464952048979447,-2.5119993653923016
0.03333333333333333,0.2767567057240945,-2.5201003025967754
0.06666666666666667,0.3334632661554118,-2.4984978033848453
0.1,0.3928701389882201,-2.4984978033848453
0.13333333333333333,0.44687638701804633,-2.4849962413773885
0.16666666666666666,0.4873810730404158,-2.4876965537788798
0.2,0.5251854466612942,-2.4768953041729147
0.23333333333333334,0.5386870086687505,-2.466094054566949
0.26666666666666666,0.5602895078806811,-2.4606934297639667
0.3,0.5737910698881374,-2.455292804960984
0.3333333333333333,0.5764913822896289,-2.449892180158002
0.36666666666666664,0.5656901326836636,-2.4606934297639667
0.4,0.5494882582747156,-2.4606934297639667
0.43333333333333335,0.533286383865768,-2.466094054566949
0.4666666666666667,0.49008138544190727,-2.468794366968441
0.5,0.4954820102448898,-2.479595616574406
0.5333333333333333,0.48468076063892473,-2.4741949917714234
0.5666666666666667,0.3307629537539203,-2.5092990529908104
0.6,0.26325514371663794,-2.5228006149982667
0.6333333333333333,0.18764639647488135,-2.5228006149982667
0.6666666666666666,0.11743827403610752,-2.5228006149982667
0.7,0.044529839195842524,-2.5282012398012497
0.7333333333333333,-0.05538171965933558,-2.533601864604232
0.7666666666666666,-0.12558984209810942,-2.525500927399758
0.8,-0.20119858933986612,-2.5282012398012497
0.8333333333333334,-0.27140671177863995,-2.5228006149982667
0.8666666666666667,-0.3470154590203962,-2.5201003025967754
0.9,-0.40912264425469613,-2.5092990529908104
0.9333333333333333,-0.4631288922845223,-2.4876965537788798
0.9666666666666667,-0.5144348279128568,-2.479595616574406
1.0,-0.5549395139352264,-2.4822959289758972
1.0333333333333332,-0.5846429503516308,-2.479595616574406
1.0666666666666667,-0.6062454495635612,-2.471494679369932
1.1,-0.6062454495635612,-2.471494679369932
1.1333333333333333,-0.6062454495635612,-2.471494679369932
1.1666666666666667,-0.6062454495635612,-2.471494679369932
1.2,-0.5873432627531221,-2.4849962413773885
1.2333333333333334,-0.5603401387382091,-2.490396866180371
1.2666666666666666,-0.5225357651173308,-2.4984978033848453
1.3,-0.4874317038979438,-2.501198115786336
1.3333333333333333,-0.444226705474083,-2.5119993653923016
1.3666666666666667,-0.38211952023978313,-2.517399990195284
1.4,-0.32541295980846585,-2.5228006149982667
1.4333333333333333,-0.2768073365816224,-2.525500927399758
1.4666666666666666,-0.2119998389458312,-2.536302177005723
1.5,-0.14179171650705735,-2.5309015522027405
1.5333333333333332,-0.07158359406828352,-2.536302177005723
1.5666666666666667,-0.00407578403100084,-2.5282012398012497
1.6,0.05533108880180759,-2.5228006149982667
1.6333333333333333,0.1282395236420728,-2.5228006149982667
1.6666666666666667,0.20114795848233813,-2.5119993653923016
1.7,0.2551542065121639,-2.5092990529908104
1.7333333333333334,0.31726139174646373,-2.501198115786336
1.7666666666666666,0.3739679521777812,-2.503898428187828
1.8,0.41987326300313343,-2.4957974909833536
1.8333333333333333,0.4630782614269944,-2.4768953041729147
1.8666666666666667,0.48468076063892473,-2.479595616574406
1.9,0.5089835722523461,-2.4741949917714234
1.9333333333333333,0.5197848218583117,-2.4633937421654584
1.9666666666666666,0.5305860714642767,-2.4606934297639667
2.0,0.5251854466612942,-2.4633937421654584
